"id","type","authors","editors","supervisors","title","alternative_title","publisher","publisher_place","publication_reference","pages","pages_start","pages_end","isbn","issn","isi_id","isi_type","other_identifiers","classification","publication_year","publication_date","abstracts","subjects","keywords","people","departments","publication_title","publication_abbreviation","series_title","volume","issue","issue_title","edition","conference_name","conference_organizer","conference_location","conference_date","conference_date_end","conference_type","defense_datetime","defense_place","article_type","misc_type","dissertation_type","publication_status","language","doi","has_full_text","open_access","sourceDb","oldId","date_created","date_updated","ugent_publication","project_code","additionalInformation","creator"
"828907","conference","Lukic, Nemanja ; Platisa, Ljiljana ; Pizurica, Aleksandra ; Philips, Wilfried ; Temerinac, Miodrag","","","Real-time wavelet based blur estimation on cell BE platform","","SPIE, the International Society for Optical Engineering","Bellingham, WA, USA","Proc. Soc. Photo-Opt. Instrum. Eng. (SPIE). 2010. SPIE, the International Society for Optical Engineering. 7535","11","","","9780819479280","0277-786X","000283590300011","","isi:type:Proceedings Paper","P1","2010","","We propose a real-time system for blur estimation using wavelet decomposition. The system is based on an emerging multi-core microprocessor architecture (Cell Broadband Engine, Cell BE) known to outperform any available general purpose or DSP processor in the domain of real-time advanced video processing solutions. We start from a recent wavelet domain blur estimation algorithm which uses histograms of a local regularity measure called average cone ratio (ACR). This approach has shown a very good potential for assessing the level of blur in the image yet some important aspects remain to be addressed in order for the method to become a practically working one. Some of these aspects are explored in our work. Furthermore, we develop an efficient real-time implementation of the novelty metric and integrate it into a system that captures live video. The proposed system estimates blur extent and renders the results to the remote user in real-time.","Technology and Engineering","real-time ; Cell BE ; image quality ; blur estimation ; multi-core ; wavelets","Platisa, Ljiljana (802000272646@TW07) ; Pizurica, Aleksandra (801001580450@TW07) ; Philips, Wilfried (801000739176@TW07)","TW07","PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)","Proc. Soc. Photo-Opt. Instrum. Eng. (SPIE)","","7535","","Wavelet applications in industrial processing VII","","Wavelet Applications in Industrial Processing VII","","San José, CA, USA","2010-01-17","2010-01-21","","","","","","","published","eng","http://hdl.handle.net/10.1117/12.839501","N","","","","2010-01-15 14:39:53","2010-12-03 13:35:50","UGENT","","","lilic"
"1113902","journalArticle","De Vos, Pol ; Ordunez-Garcia, Pedro ; Santos-Pena, Moises ; Van Der Stuyft, Patrick","","","Public hospital management in times of crisis : lessons learned from Cienfuegos, Cuba (1996-2008)","","","","Health Policy. 2010. 96 (1) p.64-71","","64","71","","0168-8510","000279096300010","Article","","A1","2010","","","Medicine and Health Sciences","REFORM ; BLOOD ; CARE ; Strategic planning ; Public health system ; HEALTH-POLICY ; SYSTEM ; LATIN-AMERICA ; Cuba ; Hospital management ; Health services organization","De Vos, Pol (000071422312@UGent) ; Van Der Stuyft, Patrick (801001017446@GE12)","GE12","HEALTH POLICY","Health Policy","","96","1","","","","","","","","","","","original","","","published","eng","http://hdl.handle.net/10.1016/j.healthpol.2010.01.005","Y","ugent","","","2011-02-01 14:22:51","2011-02-14 13:29:06","UGENT","","","mghysbre"
"1112392","bookChapter","Rots, Isabel","","","Waarom stappen afgestudeerden aan de lerarenopleiding (niet) in het lerarenberoep? Een studie naar de rol van de lerarenopleiding","","Wolters Plantyn","Mechelen","Personeel en organisatie. 2010. Wolters Plantyn. 24 p.77-110","","77","110","","","","","","B2","2010","","","Social Sciences","","Rots, Isabel (801001285713@PP06)","PP06","Personeel en organisatie","","","24","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1112392","Y","ugent","","","2011-01-31 11:27:04","2011-02-02 09:38:24","UGENT","","","irots"
"402817","conference","Boerjan, Wout ; Meyermans, Hugo ; Chen, Cuiying ; Baucher, Marie ; Van Doorsselaere, Jan ; Morreel, Kris ; Messens, Eric ; Lapierre, Catherine ; Pollet, Brigitte ; Jouanin, Lise ; Leplé, Jean-Charles ; Ralph, John ; Marita, Jane ; Guiney, Emma ; Schuch, Wolfgang ; Petit-Conil, Michel ; Pilate, Gilles","","","Lignin biosynthesis in poplar : genetic engineering and effects on kraft pulping","","Elsevier Science","Amsterdam, The Netherlands","Progr. Biotechnol. 2001. Elsevier Science. 18 p.187-194","","187","194","9780444509581","0921-0423","ISIP:000178710200023","Article","","P1","2001","","Transgenic poplar, downregulated in cinnamyl alcohol dehydrogenase (CAD) or caffeic acid-O-methyltransferase (COMT) expression have been grown in field trials. Wood of these trees has been evaluated for Kraft pulping. The results show that lignin is more easily extracted from wood of the CAD-downregulated trees, whereas wood from COMT-downregulated trees is less suitable for Kraft pulping. Detailed NMR analyses of lignin from COMT-downregulated poplars reveal the presence of benzodioxane structures, which are derived from coupling of 5-hydroxyconiferyl alcohol with the lignin polymer, showing that monolignols other than p-coumaryl, coniferyl and sinapyl alcohol can be incorporated into lignin. Analysis of poplar downregulated for CCoAOMT shows that CCoAOMT is involved in the synthesis of both syringyl and guaiacyl units, and that sinapic is probably not an important precursor for syringyl lignin synthesis.","Biology and Life Sciences","PATHWAYS ; COMT ; METHYLATION ; CAD ; CINNAMYL ALCOHOL-DEHYDROGENASE ; XYLEM ; CCoAOMT ; O-METHYLTRANSFERASE ACTIVITY ; lignin ; poplar ; Kraft pulping","Boerjan, Wout (801000651674@WE09) ; Meyermans, Hugo (801000951768@onbekend) ; Chen, Cuiying (801001303392@WE14) ; Baucher, Marie (801000900036@onbekend) ; Van Doorsselaere, Jan (801000905490@onbekend) ; Morreel, Kris (801001178407@WE09) ; Messens, Eric (801000164048@WE09)","WE09","Progress in Biotechnology","Progr. Biotechnol.","","18","","Molecular breeding of woody plants","","International Wood Biotechnology Symposium (IWBS)","","Narita, Japan","2001-03-14","2001-03-17","","","","","","","published","eng","http://hdl.handle.net/10.1016/S0921-0423(01)80072-1","Y","ugent","aleph:pug01","115038","2008-05-14 16:22","2011-02-02 10:13:39","UGENT","","","N/A"
"242821","misc","BUEKENHOUT, F ; Van Maldeghem, Hendrik","","","A Characterization of some Rank 2 Incidence Geometries by their Automorphism Group","","","","Mitt. Mathem. Sem. Giessen, 218. 1994. p.1-70","1-70","1","70","","","","","","U","1994","","","Science General","","Van Maldeghem, Hendrik (801000539116@WE01)","WE01","Mitt. Mathem. Sem. Giessen, 218","","","","","","","","","","","","","","","","","","published","eng","http://hdl.handle.net/1854/LU-242821","N","","aleph:pug01","46141","2004-05-24 13:27","2009-06-09 15:32:13","UGENT","","","N/A"
"1114550","misc","Handy, Femida ; Hustinx, Lesley","","","The why and how of volunteering","","","","Nonprofit Management and Leadership. 2009. 19 (4) p.549-558","","549","558","","1048-6682","","","","V","2009","","Review of: - Volunteers: A Social Profile, by Marc A. Musick and John Wilson. Bloomington: Indiana University Press, 2007. 680 pp. - The Decision to Volunteer: Why People Give Their Time and How You Can Engage Them, by Beth Gazley and Monica Dignam. Washington, D.C.: ASAE and the Center for Association Leadership, 2008. 144 pp. - Challenges in Volunteer Management, edited by Matthew Liao-Troth. Charlotte, N.C.: Information Age, 2008. 292 pp.","Social Sciences","","Hustinx, Lesley (802000853939@PS04)","PS04","Nonprofit Management and Leadership","","","19","4","","","","","","","","","","","","bookReview","","published","eng","http://hdl.handle.net/10.1002/nml.236","Y","ugent","","","2011-02-02 09:42:26","2011-02-10 14:06:11","NOUGENT","","","nrobbere"
"1114560","journalArticle","Hustinx, Lesley ; Denk, Thomas","","","The 'black box' problem in the study of participation","","","","JOURNAL OF CIVIL SOCIETY. 2009. 5 (3) p.209-226","","209","226","","1744-8689","","","","A2","2009","","Research on citizen participation has been guided by two core issues: first, the observation of a widening repertory of modes of participation, and second, the argument that participation is not an undifferentiated phenomenon, but must be conceived as an inherently multidimensional reality. In this article, we argue that conventional participation research has focused too one-sidedly on quantitatively expanding the range of types of activities, while the complex dimensionality is not reflected in the measures used. We formulate a methodological critique by using the metaphor of the 'black box', which refers to the implicit and unquestioned assumption that distinct types of activities and associations represent homogeneous and consistent realities that do not warrant further analytical decomposition. Surveys of participation allocate individuals to different 'participation boxes' by means of a binary logic, leaving a void of what is actually happening inside the boxes. To conclude, we reflect upon the fundamental dilemmas the black box of participation raises for theory and research, and offer conceptual and methodological keys to unlock the participation box.","Social Sciences","survey research ; triangulation ; methodological critique ; Participation ; conceptual developments","Hustinx, Lesley (802000853939@PS04)","PS04","JOURNAL OF CIVIL SOCIETY","","","5","3","","","","","","","","","","","original","","","published","eng","http://hdl.handle.net/10.1080/17448680903351693","Y","open access at 2010-07-03","","","2011-02-02 09:47:43","2011-02-11 00:30:28","NOUGENT","","","nrobbere"
"807243","journalArticle","Theys, TE ; Geeraerd, AH ; Devlieghere, Frank ; Van Impe, JF","","","Extracting information on the evolution of living- and dead-cell fractions of Salmonella Typhimurium colonies in gelatin gels based on microscopic images and plate-count data","","","","Lett. Appl. Microbiol. 2009. 49 (1) p.39-45","7","39","45","","0266-8254","000266924300007","Article","","A1","2009","","Aims: The aim of this study was to extract information on cell number and colony volume dynamics of Salmonella Typhimurium colonies. Methods and Results: Both cell number and colony volume of Salmonella Typhimurium in gelatin were monitored during the exponential and the stationary phase with varying pH and water activity, by plate counts and microscopic image analysis respectively. The exponential growth rates of cell numbers and colony volumes were correlated. The exponential growth rate of cell numbers was estimated based on this correlation and a secondary model that describes the effect of pH and water activity on the growth rate of the colony volumes. During the stationary phase, the cell number was constant, while colony volume increased, thus indicating the formation of a dead fraction. Models were developed to describe the living and dead population. Conclusions: By comparing colony volumes and cell numbers, the formation of dead fraction can be noticed from the beginning of the stationary phase, which indicates that the stationary phase is a dynamic - including both cell death and cell growth - rather than a static phase. Significance and Impact of the Study: This study was the first to investigate the proportion of living and dead bacteria within a stationary colony quantitatively.","Biology and Life Sciences","MICROSTRUCTURE ; PH ; WATER ACTIVITY ; TEMPERATURE ; structured media ; population heterogeneity ; bacterial colony ; ESCHERICHIA-COLI ; GROWTH ; BACTERIAL COLONIES","Devlieghere, Frank (801000909433@LA07)","LA07","LETTERS IN APPLIED MICROBIOLOGY","Lett. Appl. Microbiol.","","49","1","","","","","","","","","","","original","","","published","eng","http://hdl.handle.net/10.1111/j.1472-765X.2009.02623.x","Y","ugent","","","2009-12-11 10:54:32","2009-12-14 12:09:01","UGENT","","","kvdwalle"
"1105537","misc","Annemans, Lieven","","","Progress in vaccines, progress in health economics","","","","VACCINE. 2010. 28 (6) p.G1-G2","2","G1","G2","","0264-410X","000285232100001","","isi:type:Editorial Material","V","2010","","","Medicine and Health Sciences","","Annemans, Lieven (801001508005@GE12)","GE12","VACCINE","","","28","6","","","","","","","","","","","","editorialMaterial","","published","eng","http://hdl.handle.net/10.1016/j.vaccine.2010.06.078","Y","ugent","","","2011-01-20 12:35:25","2011-02-02 09:48:18","UGENT","","","mghysbre"
"1114566","journalArticle","Hustinx, Lesley ; Handy, Femida","","","Are volunteers attracted by the part or by the whole? The case of the Belgian red cross","","","","IJOVA. 2009. 26 (1) p.3-13","","3","13","","1942-728X","","","","A2","2009","","","Social Sciences","","Hustinx, Lesley (802000853939@PS04)","PS04","THE INTERNATIONAL JOURNAL OF VOLUNTEER ADMINISTRATION","IJOVA","","26","1","","","","","","","","","","","original","","","published","eng","http://hdl.handle.net/1854/LU-1114566","N","","","","2011-02-02 09:51:31","2011-02-10 16:09:54","NOUGENT","","","nrobbere"
"1123142","bookEditor","","Hustinx, Lesley","","Chinese vrijwilligers? Over de driehoeksverhouding tussen vrijwilligerswerk, activering en arbeidsmarkt","","Politeia","Brussel","2010. Politeia.","230","","","9782509007575","","","","","B3","2010","","De revival van het vrijwilligerswerk is al een aantal jaren een feit. Maar recent duiken nieuwe vormen van vrijwilligerswerk op: in het bedrijfsleven, aan de overheid (OCMW’s, arbeidsmarktbeleid, gezondheidssector), in onderwijsinstellingen en andere instituten. Bovendien staan niet alle vrijwilligersorganisaties open voor alle doelgroepen. Het vrijwilligersbestand in Vlaanderen heeft er ongetwijfeld baat bij als we werk maken van de inzet van jongeren (via maatschappelijke stages), van ouderen (via een gericht beleid) en van kansengroepen (via verschillende ondersteunende maatregelen, een uitgestippeld arbeidsmarktbeleid, initiatieven vanuit OCMW’s). Creëert de driehoeksverhouding tussen vrijwilligerswerk, activering en arbeidsmarkt vrijwilligers tegen wil en dank? Of hebben Chinese vrijwilligers alleen maar te winnen bij het activeringsdiscours? In deze publicatie worden de ontwikkelingen van ‘geleid’ vrijwilligerswerk bekeken vanuit verschillende invalshoeken: maatschappelijk, historisch, wetenschappelijk. Het resultaat is een uniek boek dat focust op het vrijwilligerswerk in volle ontwikkeling.","Social Sciences","","Hustinx, Lesley (802000853939@PS04)","PS04","","","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1123142","Y","ugent","","","2011-02-03 11:24:02","2011-02-28 14:29:07","UGENT","","","nrobbere"
"110933","journalArticle","Steennot, Reinhard","","","Isabel of de innovatie in de bancaire wereld.","","","","Bank Financiewez. 1999. p.405-411","405-411","405","411","","0772-778X","","","","A3","1999","","","Law and Political Science","","Steennot, Reinhard (801001239940@RE05)","RE05","BANK- EN FINANCIEWEZEN","Bank Financiewez.","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-110933","N","","aleph:pug01","865","2004-01-14 13:34","2009-02-24 10:20:52","UGENT","","","N/A"
"1112448","bookChapter","De Kock, Liesbet","","","Overgangsrituelen : vrijzinnig humanisme en rituelen","","Standaard Uitgeverij","Antwerpen","Overgangsrituelen : een brug tussen het andere en het gelijke. 2010. Standaard Uitgeverij. p.235-265","","235","265","9789034193988","","","","","B2","2010","","","Philosophy and Religion","","De Kock, Liesbet (002001309656@LW01)","LW01","Overgangsrituelen : een brug tussen het andere en het gelijke","","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1112448","Y","ugent","","","2011-01-31 12:26:57","2011-02-09 08:44:35","UGENT","","","ldekock"
"704290","conference","De Schampheleire, Mieke ; Cornelis, Wim ; Steurbaut, Walter ; Spanoghe, Pieter","","","Wind tunnel measurements to determine the efficiency of drift control agents","","","","Proceedings of the 8th International Symposium on adjuvants for agrochemicals ISAA2007. 2007.","","","","","","","","","C3","2007","","","","","De Schampheleire, Mieke (801001754242@UGent) ; Cornelis, Wim (801000956418@LA12) ; Steurbaut, Walter (801000267314@LA03) ; Spanoghe, Pieter (801001266515@LA03)","LA03 ; LA12","Proceedings of the 8th International Symposium on adjuvants for agrochemicals ISAA2007","","","","","","","8th International Symposium on adjuvants for agrochemicals ISAA2007","","Columbus, Ohio (USA)","2007-08-06","2007-08-09","","","","","","","published","eng","http://hdl.handle.net/1854/LU-704290","N","","","","2009-06-18 14:52:40","2009-11-05 11:21:35","UGENT","","","cscholla"
"1112464","bookChapter","De Kock, Liesbet","","","Overgangsrituelen bij de Betamaribe","","Standaard Uitgeverij","Antwerpen","Overgangsrituelen : een brug tussen het andere en het gelijke. 2010. Standaard Uitgeverij. p.308-339","","308","339","9789034193988","","","","","B2","2010","","","Philosophy and Religion","","De Kock, Liesbet (002001309656@LW01)","LW01","Overgangsrituelen : een brug tussen het andere en het gelijke","","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1112464","Y","ugent","","","2011-01-31 12:29:02","2011-02-09 08:31:22","UGENT","","","ldekock"
"1096806","misc","Stalpaert, Christel","","","To watch theatre : essays on genre and corporeality. By Rachel Fensham","","","","Theatre res. int. 2011. 36 (1) p.81-81","","81","81","","0307-8833 ","","","","V","2011","","","Arts and Architecture","spectatorship ; theatre ; tragedy ; genre","Stalpaert, Christel (801001014012@LW17)","LW17","THEATRE RESEARCH INTERNATIONAL","Theatre res. int.","","36","1","","","","","","","","","","","","bookReview","","published","eng","http://hdl.handle.net/10.1017/S0307883310000751","Y","ugent at 2012-06-01","","","2011-01-11 09:54:14","2011-01-13 13:51:39","UGENT","","","cstalpae"
"1114029","journalArticle","Labarque, Valery ; Cardon, Greet ; Van Cauwenberghe, Eveline ; Smits, Dirk","","","Actieve lessen bewegingsopvoeding zijn belangrijk voor kleuters!","","","","Tijdschr. Licham. Opvoeding. 2010. p.7-12","","7","12","","1781-5614 ","","","","A4","2010","","","Medicine and Health Sciences","","Labarque, Valery (801002113243@GE25) ; Cardon, Greet (801000968138@GE25) ; Van Cauwenberghe, Eveline (802000213638@GE25)","GE25","TIJDSCHRIFT VOOR LICHAMELIJKE OPVOEDING","Tijdschr. Licham. Opvoeding","","","","","","","","","","","","","","original","","","published","dut","http://hdl.handle.net/1854/LU-1114029","Y","ugent","","","2011-02-01 15:10:26","2011-02-08 10:38:40","UGENT","","","avolkaer"
